2.012325996822535989e-21 7.603034676573592972e-25 7.466443379750292108e-26 2.702789564469790025e-27 6.253754906570252672e-27 5.474577990623645806e-27 4.673502643365490434e-27 3.706306962123304547e-27 3.012135086522087055e-27 2.422596159608299490e-27 1.820364861151063329e-27 8.858871517826612395e-28 2.912191826685680588e-27 1.307905618268851135e-27
1.899358144467873357e-21 6.493878550816679413e-25 6.814182552344224289e-26 2.662286004119382228e-27 3.385535977754505720e-27 3.030046519395500032e-27 2.688373260174013981e-27 2.244241816210365068e-27 1.907171674876877654e-27 1.594430833893660189e-27 1.251404325439165349e-27 6.207496131127047322e-28 2.605184532376565329e-27 1.175176659819666537e-27
1.796584511531913906e-21 5.406774030534897067e-25 6.091731624889035326e-26 2.596923535845463108e-27 1.982245975398225991e-27 1.807139169546685842e-27 1.649805288410827891e-27 1.428854082975601242e-27 1.251109829045867751e-27 1.072251392045923801e-27 8.629074784192874541e-28 4.331324767678223972e-28 2.314186838169706570e-27 1.049459788454867236e-27
1.698591202934510346e-21 4.379626940442827803e-25 5.300553395605501116e-26 2.481021252899794721e-27 1.225572926835474381e-27 1.132928674228205216e-27 1.052976072037588532e-27 9.338939720124133875e-28 8.327233854866554178e-28 7.243800533174000520e-28 5.918791923791746470e-28 2.997832717645277433e-28 2.039088705557841796e-27 9.304181495142475731e-28
1.603371924303399453e-21 3.449565731781750220e-25 4.465439445659459980e-26 2.297089409088401316e-27 7.794500956774321574e-28 7.275183497382703887e-28 6.832961776350741674e-28 6.153809739296515778e-28 5.551702654047828115e-28 4.882714915599700601e-28 4.037475094030682547e-28 2.060743646659251953e-28 1.780845438981859542e-27 8.182064883287264176e-28
1.509633074369393858e-21 2.643188194094578467e-25 3.632356758015109709e-26 2.042240204589630148e-27 5.028025807860542919e-28 4.722790980680225869e-28 4.461755103765971000e-28 4.059081505265007935e-28 3.695120648997557031e-28 3.279098178071802775e-28 2.737489378138907373e-28 1.406446501564962275e-28 1.540306654072377768e-27 7.129936892674835111e-28
1.418108412589441774e-21 1.973426003642815707e-25 2.852273461268352405e-26 1.732750486283589459e-27 3.259684648975413395e-28 3.074040634605359473e-28 2.914282175291093357e-28 2.671543881712276357e-28 2.449616402532194738e-28 2.189760376099835589e-28 1.842274232858458924e-28 9.518567763904630111e-29 1.318312460743527343e-27 6.150926175012993224e-28
1.329209571688183229e-21 1.438042802402000863e-25 2.164998203987762053e-26 1.400361621302815072e-27 2.113660488881386520e-28 1.998339895103552835e-28 1.899291194124820525e-28 1.751343643004245159e-28 1.615054285345441434e-28 1.452256584654944724e-28 1.229451796280249775e-28 6.382677099358460363e-29 1.115574477326946515e-27 5.248080699447948866e-28
1.242973252271784130e-21 1.025685146156195940e-25 1.593604462956738680e-26 1.080367825982065365e-27 1.368169755065183067e-28 1.295810610681206928e-28 1.233965172991325862e-28 1.142842129551292115e-28 1.058533740708139205e-28 9.562354215030545347e-29 8.135367866139855330e-29 4.240212154629445729e-29 9.329626934169483176e-28 4.425952858745925347e-28
1.160558655262941434e-21 7.183507145862492414e-26 1.142466833389101021e-26 8.000517010436003482e-28 8.839372748215079591e-29 8.382549051661160345e-29 7.993744044289072569e-29 7.426750817958858872e-29 6.901213784134311522e-29 6.256011670336145932e-29 5.342579470403259782e-29 2.793376671436625267e-29 7.705763407215237383e-28 3.686127029896109021e-28
1.083975239885138274e-21 4.959898136508998576e-26 8.022040230117040227e-27 5.732625248498040634e-28 5.702279921290617820e-29 5.412302215051327595e-29 5.166293526635596785e-29 4.810199617844954168e-29 4.479965466150611307e-29 4.071273370914263658e-29 3.486488276323252762e-29 1.827302680178896669e-29 6.284357552226911662e-28 3.030541323946544050e-28
1.015306947429374756e-21 3.392424190632383818e-26 5.555115192793069431e-27 4.016709001429099744e-28 3.673394198637789823e-29 3.488569559392634035e-29 3.332114184011467203e-29 3.106829533472531264e-29 2.897933739469805107e-29 2.638115854112412077e-29 2.263570264545437713e-29 1.188376103790885336e-29 5.059743645374376558e-28 2.458799474045477774e-28
9.541409705329657214e-22 2.316020060054356887e-26 3.829333861172458334e-27 2.781845352864741452e-28 2.349739551915422502e-29 2.232371958880382031e-29 2.133173652424715767e-29 1.990867664341527694e-29 1.858893943099253338e-29 1.694127302621157149e-29 1.455472263713381695e-29 7.650193117745663572e-30 4.020983134438744655e-28 1.968171845405436773e-28
8.962718347633881729e-22 1.664036170096596281e-26 2.783442318559115672e-27 2.025969769127797716e-28 1.540730634100593091e-29 1.464124878563134629e-29 1.399435174693697463e-29 1.306859395926471673e-29 1.220996963834740837e-29 1.113553200329635786e-29 9.574485437058621917e-30 5.036078538865735012e-30 3.170742614398497581e-28 1.561301917336387302e-28
8.306273047833714140e-22 1.042365082458154337e-26 1.763850492194435955e-27 1.280855274905321061e-28 1.039146759294524385e-29 9.876346661358221685e-30 9.441667867513269221e-30 8.820606214409893672e-30 8.244536211218468866e-30 7.522566962746552840e-30 6.471376912561726199e-30 3.405416323064831201e-30 2.477262617038667495e-28 1.225432730501975669e-28
7.414239395818005107e-22 6.417708625615090232e-27 1.096631640309658583e-27 7.887925760982435043e-29 7.032045963817209429e-30 6.684229194912937615e-30 6.390918444002609727e-30 5.972288821139374941e-30 5.583934684039545208e-30 5.096637606983368183e-30 4.386069835369027635e-30 2.308829625766669246e-30 1.897442652495663164e-28 9.420273925976231839e-29
6.197116518053238398e-22 3.914735661429969344e-27 6.750562188763875920e-28 4.762980282339022487e-29 4.773740614934007294e-30 4.538044624284074552e-30 4.339339115197883028e-30 4.055951993910380493e-30 3.793010774467863399e-30 3.462749124490868008e-30 2.980713106135994459e-30 1.569409173612312863e-30 1.408813291011819760e-28 7.010969152629057922e-29
4.590335912756186895e-22 2.369094795378713581e-27 4.121794832564776801e-28 2.809139067483564807e-29 3.252891136476768155e-30 3.092473172681722933e-30 2.957261966911116009e-30 2.764564552612411467e-30 2.585780793611230095e-30 2.361094313687499478e-30 2.032830715754000021e-30 1.070504972417658453e-30 9.855453472851088862e-29 4.905774781584501465e-29
2.559783045284006211e-22 1.407259996215809294e-27 2.455113833567475918e-28 1.611790506086926758e-29 1.961592934678793361e-30 1.864985517975360682e-30 1.783586286880722549e-30 1.667657496351107578e-30 1.560087057517353566e-30 1.424800802743329323e-30 1.226983135748397400e-30 6.462633287386101741e-31 5.658969569971636371e-29 2.809560723688358675e-29
